dataset_name,derived_video_id,task_name,eligibility,eligible_for_declared_role,eligible_for_formal_experiment,evaluation_scope,ineligibility_reason,provider_name,available_observation_count,expected_observation_count,metadata,eligibility_scope
local_six_video_protocol_smoke,vid_268dfd36af1b786fe5b4,video_classification,ineligible,False,False,geometry_validation_smoke,geometry_validation_smoke_not_formal_classification_data,metadata,0,10,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_54583b973ba895eef092,depth_residual,eligible,True,False,geometry_validation_smoke,,depth_observation,272,272,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_54583b973ba895eef092,object_localization,ineligible,False,False,geometry_validation_smoke,object_localization_annotations_unavailable,metadata,0,7,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_54583b973ba895eef092,occlusion_and_reappearance,not_applicable,False,False,geometry_validation_smoke,no_validated_occlusion_event,formal_mask_depth_order_visibility,0,7,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_54583b973ba895eef092,reprojection_D1,provider_failed,False,False,geometry_validation_smoke,no_static_camera_3d_ready_clip,camera_pose_and_track_geometry,0,7,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_54583b973ba895eef092,reprojection_D2,provider_failed,False,False,geometry_validation_smoke,no_rotation_compensated_ready_clip,camera_pose_and_track_geometry,0,7,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_54583b973ba895eef092,reprojection_D3,provider_failed,False,False,geometry_validation_smoke,no_full_se3_3d_ready_clip,camera_pose_and_track_geometry,0,7,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_54583b973ba895eef092,spatial_localization,ineligible,False,False,geometry_validation_smoke,spatial_annotations_unavailable,metadata,0,7,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_54583b973ba895eef092,static_geometry,eligible,True,False,geometry_validation_smoke,,shared_3d_frame_observation,121,121,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_54583b973ba895eef092,temporal_localization,ineligible,False,False,geometry_validation_smoke,temporal_annotations_unavailable,metadata,0,7,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_54583b973ba895eef092,video_classification,ineligible,False,False,geometry_validation_smoke,geometry_validation_smoke_not_formal_classification_data,metadata,0,7,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_992deacc523c6ec71a95,depth_residual,eligible,True,False,geometry_validation_smoke,,depth_observation,472,472,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_992deacc523c6ec71a95,object_localization,ineligible,False,False,geometry_validation_smoke,object_localization_annotations_unavailable,metadata,0,12,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_992deacc523c6ec71a95,occlusion_and_reappearance,provider_failed,False,False,geometry_validation_smoke,occlusion_observation_incomplete,formal_mask_depth_order_visibility,0,12,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_992deacc523c6ec71a95,reprojection_D1,eligible,True,False,geometry_validation_smoke,,camera_pose_and_track_geometry,1,12,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_992deacc523c6ec71a95,reprojection_D2,provider_failed,False,False,geometry_validation_smoke,no_rotation_compensated_ready_clip,camera_pose_and_track_geometry,0,12,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_992deacc523c6ec71a95,reprojection_D3,provider_failed,False,False,geometry_validation_smoke,no_full_se3_3d_ready_clip,camera_pose_and_track_geometry,0,12,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_992deacc523c6ec71a95,spatial_localization,ineligible,False,False,geometry_validation_smoke,spatial_annotations_unavailable,metadata,0,12,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_992deacc523c6ec71a95,static_geometry,eligible,True,False,geometry_validation_smoke,,shared_3d_frame_observation,201,201,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_992deacc523c6ec71a95,temporal_localization,ineligible,False,False,geometry_validation_smoke,temporal_annotations_unavailable,metadata,0,12,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_992deacc523c6ec71a95,video_classification,ineligible,False,False,geometry_validation_smoke,geometry_validation_smoke_not_formal_classification_data,metadata,0,12,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_afb34584f174e65dd88c,depth_residual,eligible,True,False,geometry_validation_smoke,,depth_observation,272,272,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_afb34584f174e65dd88c,object_localization,ineligible,False,False,geometry_validation_smoke,object_localization_annotations_unavailable,metadata,0,7,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_afb34584f174e65dd88c,occlusion_and_reappearance,not_applicable,False,False,geometry_validation_smoke,no_validated_occlusion_event,formal_mask_depth_order_visibility,0,7,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_afb34584f174e65dd88c,reprojection_D1,eligible,True,False,geometry_validation_smoke,,camera_pose_and_track_geometry,1,7,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_afb34584f174e65dd88c,reprojection_D2,provider_failed,False,False,geometry_validation_smoke,no_rotation_compensated_ready_clip,camera_pose_and_track_geometry,0,7,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_afb34584f174e65dd88c,reprojection_D3,provider_failed,False,False,geometry_validation_smoke,no_full_se3_3d_ready_clip,camera_pose_and_track_geometry,0,7,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_afb34584f174e65dd88c,spatial_localization,ineligible,False,False,geometry_validation_smoke,spatial_annotations_unavailable,metadata,0,7,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_afb34584f174e65dd88c,static_geometry,eligible,True,False,geometry_validation_smoke,,shared_3d_frame_observation,121,121,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_afb34584f174e65dd88c,temporal_localization,ineligible,False,False,geometry_validation_smoke,temporal_annotations_unavailable,metadata,0,7,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_afb34584f174e65dd88c,video_classification,ineligible,False,False,geometry_validation_smoke,geometry_validation_smoke_not_formal_classification_data,metadata,0,7,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_f25efe56b602def055a7,depth_residual,eligible,True,False,geometry_validation_smoke,,depth_observation,429,429,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_f25efe56b602def055a7,object_localization,ineligible,False,False,geometry_validation_smoke,object_localization_annotations_unavailable,metadata,0,11,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_f25efe56b602def055a7,occlusion_and_reappearance,not_applicable,False,False,geometry_validation_smoke,no_validated_occlusion_event,formal_mask_depth_order_visibility,0,11,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_f25efe56b602def055a7,reprojection_D1,provider_failed,False,False,geometry_validation_smoke,no_static_camera_3d_ready_clip,camera_pose_and_track_geometry,0,11,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_f25efe56b602def055a7,reprojection_D2,provider_failed,False,False,geometry_validation_smoke,no_rotation_compensated_ready_clip,camera_pose_and_track_geometry,0,11,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_f25efe56b602def055a7,reprojection_D3,provider_failed,False,False,geometry_validation_smoke,no_full_se3_3d_ready_clip,camera_pose_and_track_geometry,0,11,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_f25efe56b602def055a7,spatial_localization,ineligible,False,False,geometry_validation_smoke,spatial_annotations_unavailable,metadata,0,11,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_f25efe56b602def055a7,static_geometry,eligible,True,False,geometry_validation_smoke,,shared_3d_frame_observation,41,177,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_f25efe56b602def055a7,temporal_localization,ineligible,False,False,geometry_validation_smoke,temporal_annotations_unavailable,metadata,0,11,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
local_six_video_protocol_smoke,vid_f25efe56b602def055a7,video_classification,ineligible,False,False,geometry_validation_smoke,geometry_validation_smoke_not_formal_classification_data,metadata,0,11,"{""dataset_role"":""geometry_validation_smoke"",""formal_eligibility_blocked_by_dataset_role"":true,""provider_failure_is_anomaly_evidence"":false}",video
