split,binary_label,video_count,depth_coverage,frame_shared_3d_coverage,sequence_aligned_coverage,dynamic_readiness,mask_coverage,keypoint_coverage,branch_applicability_ratio,mask_applicable_video_count,keypoint_applicable_video_count,geometry_mode_counts,provider_failure_reasons,coverage_features_must_not_be_anomaly_by_default
validation,0,4,1.0,0.5617557583659278,1.0,0.020833333333333332,0.7056242593626213,0.6691542288557214,0.048085016835016835,4,3,"{""unavailable"": 4}","{""full_se3_not_observationally_supported"": 16, ""insufficient_independent_point_tracking"": 2, ""rotation_transform_not_materialized"": 26}",True
validation,1,2,1.0,1.0,1.0,0.07142857142857142,0.797427178623014,,0.0873015873015873,2,0,"{""unavailable"": 2}","{""full_se3_not_observationally_supported"": 10, ""insufficient_independent_point_tracking"": 3}",True
