sample_id,runtime_seconds,peak_gpu_memory_mb
real::gJKsjHgG6sI_10_0to520,41.78486213553697,479.22314453125
open_sora::gJKsjHgG6sI_10_0to520,13.050979216583073,442.99609375
real::5Jt_XnncnVg_27_0to401,38.25805449485779,479.2236328125
open_sora::5Jt_XnncnVg_27_0to401,13.889737326651812,442.99560546875
real::Dh0v721XH9A_4_0to224,54.42368334252387,479.92724609375
open_sora::Dh0v721XH9A_4_0to224,23.858696250244975,444.9853515625
real::2f6LelxirVM_1_0to123,49.758136961609125,479.69287109375
open_sora::2f6LelxirVM_1_0to123,16.843426308594644,443.46533203125
real::Ec101pAONBM_85_0to110,49.8541160877794,479.45849609375
open_sora::Ec101pAONBM_85_0to110,17.53970289323479,443.23095703125
real::RN_7nPK_pYI_0_0to319,96.70131554454565,483.0810546875
open_sora::RN_7nPK_pYI_0_0to319,20.386744923889637,443.4033203125
real::YUPQHE8dOyI_9_0to176,74.88406679406762,482.38623046875
open_sora::YUPQHE8dOyI_9_0to176,25.119937155395746,446.29052734375
real::mHoO8vEm1co_1_34to168,61.735785570926964,479.92724609375
open_sora::mHoO8vEm1co_1_34to168,13.818670871667564,443.46533203125
real::ci8GjIKQDKU_24_0to109,47.223683576099575,479.45849609375
open_sora::ci8GjIKQDKU_24_0to109,16.64089774340391,443.46533203125
real::9S2-sD1HIbQ_21_126to247,68.94643478747457,481.205078125
open_sora::9S2-sD1HIbQ_21_126to247,18.992205270566046,443.46533203125
real::EXmiHun7d-8_29_776to898,78.80095055140555,483.6328125
open_sora::EXmiHun7d-8_29_776to898,23.166195097379386,446.40234375
real::wmd4Nbunuyg_11_193to331,56.45749997161329,479.92724609375
open_sora::wmd4Nbunuyg_11_193to331,15.431304418481886,443.46533203125
real::w7h--c54_O8_24_0to135,93.22598779480904,482.56982421875
open_sora::w7h--c54_O8_24_0to135,22.043293001130223,444.9853515625
real::2lTq3d3vY04_0_96to280,47.130721748806536,479.45849609375
open_sora::2lTq3d3vY04_0_96to280,16.60544515773654,443.46533203125
real::qb4DJAgNGiQ_87_29to141,41.63982588518411,479.69287109375
open_sora::qb4DJAgNGiQ_87_29to141,13.361053250730038,443.69970703125
real::zEr5cbkNabY_38_39to140,46.53681259416044,479.69287109375
open_sora::zEr5cbkNabY_38_39to140,26.14434232842177,446.60791015625
real::_Z5UMH8trWE_637_136to247,56.584163216874,479.92724609375
open_sora::_Z5UMH8trWE_637_136to247,22.85852460656315,444.9853515625
real::BjNdaV_Jz4U_5_0to151,39.48373444378376,479.22314453125
open_sora::BjNdaV_Jz4U_5_0to151,14.814231792464852,443.23095703125
real::kNVy_zN3BHA_44_53to302,51.5634424732998,480.162109375
open_sora::kNVy_zN3BHA_44_53to302,19.305913030169904,443.69970703125
real::lExN3FdIvw8_26_0to110,45.114940765313804,479.92724609375
open_sora::lExN3FdIvw8_26_0to110,18.336792163550854,443.69970703125
real::ym205HqYEnE_71_0to113,39.377580971457064,479.22314453125
open_sora::ym205HqYEnE_71_0to113,13.065144843421876,442.99560546875
real::F29HGMNKcnk_63_0to191,78.49862404633313,483.08056640625
open_sora::F29HGMNKcnk_63_0to191,15.322979414835572,443.46533203125
real::iPxDcHbS1xc_32_0to136,44.38228998426348,479.45849609375
open_sora::iPxDcHbS1xc_32_0to136,23.4370594387874,444.98583984375
real::1IL7cpSq1t0_16_0to298,52.598742140457034,479.69287109375
open_sora::1IL7cpSq1t0_16_0to298,20.124732799828053,443.4033203125
real::-i7R-fPF22c_6_108to292,57.6371364146471,480.162109375
